Name	ID	Genesizes	Zscore
Spliceosome	1	14.00	0.104477615
N-Glycan_biosynthesis	2	7.00	0.142857141
mRNA_surveillance_pathway	3	10.00	0.109890108
Autophagy	4	12.00	0.09375
Leishmaniasis	5	8.00	0.10810811
Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis	6	4.00	0.16
HIF-1_signaling_pathway	7	9.00	0.09
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	8	7.00	0.102941179
Renal_cell_carcinoma	9	7.00	0.10144928
Staphylococcus_aureus_infection	10	6.00	0.107142859
Longevity_regulating_pathway	11	8.00	0.089887638
Neurotrophin_signaling_pathway	12	10.00	0.084033613
Mitophagy	13	6.00	0.092307692
Acute_myeloid_leukemia	14	6.00	0.09090909
Alzheimer's_disease	15	12.00	0.070175438
Axon_guidance	16	12.00	0.068571429
Phagosome	17	11.00	0.072368422
Ribosome	18	11.00	0.071428571
AMPK_signaling_pathway	19	9.00	0.074380164
Protein_export	20	3.00	0.13043478
Chagas_disease_(American_trypanosomiasis)	21	8.00	0.078431373
HTLV-I_infection	22	16.00	0.062745099
Insulin_signaling_pathway	23	10.00	0.07246377
Insulin_resistance	24	8.00	0.074766355
Bladder_cancer	25	4.00	0.097560978
Folate_biosynthesis	26	3.00	0.115384617
Lysine_degradation	27	5.00	0.08474576
ErbB_signaling_pathway	28	7.00	0.08139535
Collecting_duct_acid_secretion	29	3.00	0.111111107
